Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A1H3L2F4	unreviewed	Amycolatopsis xylanica	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3U4U1	unreviewed	Jannaschia faecimaris	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3W3Z6	unreviewed	Arachidicoccus rhizosphaerae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H3XAL4	unreviewed	Rubrimonas cliftonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4A4Y1	unreviewed	Chitinophaga terrae (ex Kim and Jung 2007)	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4AGM5	unreviewed	Thalassobacillus cyri	Ureidoglycolate dehydrogenase (NAD+)		
A0A1H4AQZ0	unreviewed	Eubacterium aggregans	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4E105	unreviewed	Thalassobacillus cyri	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4E5Q0	unreviewed	Thalassobacillus cyri	Ureidoglycolate dehydrogenase (NAD+)		
A0A1H4G1K6	unreviewed	Rubrimonas cliftonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4JE57	unreviewed	Amycolatopsis tolypomycina	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4KXG7	unreviewed	Nitratireductor aquibiodomus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4KY21	unreviewed	Streptomyces melanosporofaciens	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4LD62	unreviewed	Paramicrobacterium humi	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4P2J6	unreviewed	Pseudomonas saponiphila	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4Q7L1	unreviewed	Nitratireductor aquibiodomus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4U4D3	unreviewed	Pseudomonas anguilliseptica	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4X1R4	unreviewed	Rhodococcus koreensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4XXT4	unreviewed	Pseudomonas saponiphila	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4Y1U5	unreviewed	Amycolatopsis tolypomycina	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H4Z6S1	unreviewed	Streptomyces melanosporofaciens	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1H5BFB3	unreviewed	Ruania alba	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
